"","ID","Month","Month.Clutch","Laid","Treatment","FSL","OLRE"
"1",202,1,1,297,NA,NA,1
"2",204,1,1,165,"F",47.8,2
"3",204,2,2,289,"F",47.8,3
"4",204,2,1,335,"F",47.8,4
"5",206,NA,NA,NA,NA,38.3,5
"6",338,2,2,203,"M",53.45,6
"7",338,2,1,121,"M",53.45,7
"8",339,1,1,195,NA,NA,8
"9",347,1,1,481,"C",61.25,9
"10",347,2,2,659,"C",61.25,10
"11",347,1,2,500,"C",61.25,11
"12",347,2,1,597,"C",61.25,12
"13",351,1,2,232,"F",51.65,13
"14",351,2,2,354,"F",51.65,14
"15",351,2,1,293,"F",51.65,15
"16",351,NA,NA,316,"F",51.65,16
"17",353,2,1,212,"F",56.15,17
"18",353,1,1,189,"F",56.15,18
"19",353,1,2,293,"F",56.15,19
"20",355,1,3,269,"C",54.85,20
"21",355,2,1,246,"C",54.85,21
"22",355,2,2,296,"C",54.85,22
"23",355,1,1,179,"C",54.85,23
"24",355,1,2,295,"C",54.85,24
"25",356,1,2,227,"M",51.9,25
"26",356,2,2,281,"M",51.9,26
"27",356,2,1,121,"M",51.9,27
"28",356,2,3,264,"M",51.9,28
"29",356,1,1,147,"M",51.9,29
"30",358,1,1,234,"C",55.8,30
"31",358,2,2,408,"C",55.8,31
"32",358,1,2,271,"C",55.8,32
"33",358,2,1,430,"C",55.8,33
"34",362,2,2,608,"M",52.85,34
"35",362,1,2,490,"M",52.85,35
"36",362,1,1,436,"M",52.85,36
"37",362,1,3,393,"M",52.85,37
"38",362,2,1,662,"M",52.85,38
"39",363,1,1,142,NA,NA,39
"40",380,1,2,368,"F",50,40
"41",380,2,1,160,"F",50,41
"42",381,2,1,402,"F",53.45,42
"43",381,1,1,271,"F",53.45,43
"44",381,2,2,479,"F",53.45,44
"45",381,1,2,302,"F",53.45,45
"46",382,1,1,276,"C",61.2,46
"47",383,1,1,54,NA,NA,47
"48",384,2,1,343,"M",51.2,48
"49",384,1,1,209,"M",51.2,49
"50",384,2,2,362,"M",51.2,50
"51",384,1,2,273,"M",51.2,51
"52",384,1,3,253,"M",51.2,52
"53",386,2,2,143,"F",54,53
"54",386,1,1,59,"F",54,54
"55",389,1,1,92,NA,NA,55
"56",390,2,1,350,"C",55.1,56
"57",390,2,2,366,"C",55.1,57
"58",390,1,3,195,"C",55.1,58
"59",390,2,3,247,"C",55.1,59
"60",390,1,1,165,"C",55.1,60
"61",390,1,2,284,"C",55.1,61
"62",392,1,2,170,"M",49.1,62
"63",392,2,1,415,"M",49.1,63
"64",392,1,1,226,"M",49.1,64
"65",392,2,2,326,"M",49.1,65
"66",393,2,2,269,"M",47.2,66
"67",393,2,3,254,"M",47.2,67
"68",393,2,1,230,"M",47.2,68
"69",393,1,1,186,"M",47.2,69
"70",394,2,1,444,"M",56,70
"71",394,2,2,503,"M",56,71
"72",394,1,1,358,"M",56,72
"73",394,1,2,426,"M",56,73
"74",396,1,1,117,"F",56.9,74
"75",396,2,1,188,"F",56.9,75
"76",399,1,1,488,"C",59.9,76
"77",399,2,1,439,"C",59.9,77
"78",399,1,2,408,"C",59.9,78
"79",399,2,2,603,"C",59.9,79
"80",402,1,1,346,NA,NA,80
"81",403,2,2,975,"M",73,81
"82",403,2,1,671,"M",73,82
"83",403,1,1,590,"M",73,83
"84",405,1,1,271,"F",57.75,84
"85",405,2,2,424,"F",57.75,85
"86",405,2,1,310,"F",57.75,86
"87",406,1,1,228,"M",NA,87
"88",406,2,1,337,"M",NA,88
"89",406,2,2,421,"M",NA,89
"90",406,1,2,90,"M",NA,90
"91",408,1,1,261,"C",54.35,91
"92",408,1,2,403,"C",54.35,92
"93",408,2,1,258,"C",54.35,93
"94",411,2,1,494,"M",56.9,94
"95",411,1,1,360,"M",56.9,95
"96",411,1,2,261,"M",56.9,96
"97",412,1,1,394,"F",49.2,97
"98",412,1,2,407,"F",49.2,98
"99",412,1,3,387,"F",49.2,99
"100",412,2,1,488,"F",49.2,100
"101",412,2,2,422,"F",49.2,101
"102",413,1,1,298,"C",52.5,102
"103",413,1,2,326,"C",52.5,103
"104",413,1,3,339,"C",52.5,104
"105",413,2,1,473,"C",52.5,105
"106",413,2,2,68,"C",52.5,106
"107",417,2,2,252,"F",50.5,107
"108",417,1,1,213,"F",50.5,108
"109",417,1,2,170,"F",50.5,109
"110",424,1,2,393,"F",62.4,110
"111",424,2,1,480,"F",62.4,111
"112",424,1,1,376,"F",62.4,112
"113",425,1,1,30,NA,NA,113
"114",426,1,1,156,"C",47.7,114
"115",426,1,2,197,"C",47.7,115
"116",426,2,1,182,"C",47.7,116
"117",426,2,2,267,"C",47.7,117
"118",439,1,1,11,NA,NA,118
"119",440,2,1,35,"F",53.95,119
"120",449,1,2,619,"F",61.85,120
"121",449,2,2,551,"F",61.85,121
"122",449,1,3,422,"F",61.85,122
"123",449,2,1,592,"F",61.85,123
"124",450,1,1,332,"C",57.8,124
"125",450,1,2,646,"C",57.8,125
"126",451,2,1,546,"M",59.9,126
"127",451,2,2,329,"M",59.9,127
"128",451,1,1,399,"M",59.9,128
"129",451,1,2,437,"M",59.9,129
"130",457,2,2,191,"C",54.35,130
"131",457,1,1,84,"C",54.35,131
"132",457,2,1,208,"C",54.35,132
"133",460,1,2,375,"M",55.65,133
"134",460,1,1,394,"M",55.65,134
"135",460,2,2,365,"M",55.65,135
"136",460,2,1,432,"M",55.65,136
"137",461,1,1,11,NA,NA,137
"138",463,2,1,192,"C",52.15,138
"139",463,2,2,273,"C",52.15,139
"140",463,1,1,167,"C",52.15,140
"141",464,1,1,149,"F",45.7,141
"142",464,1,2,42,"F",45.7,142
"143",464,2,1,52,"F",45.7,143
"144",465,1,2,273,"M",52.35,144
"145",465,2,1,261,"M",52.35,145
"146",465,2,2,272,"M",52.35,146
"147",466,1,1,142,NA,NA,147
"148",467,1,1,53,"C",44.9,148
"149",467,2,1,73,"C",44.9,149
"150",467,2,2,88,"C",44.9,150
"151",471,1,2,370,"M",51.85,151
"152",471,1,1,319,"M",51.85,152
"153",471,2,1,446,"M",51.85,153
"154",471,1,3,310,"M",51.85,154
"155",471,2,2,485,"M",51.85,155
"156",474,2,1,551,"M",63.15,156
"157",474,1,1,211,"M",63.15,157
"158",474,1,2,249,"M",63.15,158
"159",475,1,1,83,NA,NA,159
"160",476,1,1,365,"F",57.05,160
"161",476,1,2,469,"F",57.05,161
"162",476,1,3,430,"F",57.05,162
"163",476,2,1,506,"F",57.05,163
"164",477,1,1,231,"C",53.15,164
"165",477,2,1,273,"C",53.15,165
"166",477,2,2,234,"C",53.15,166
"167",478,1,1,382,"F",63.45,167
"168",478,1,2,307,"F",63.45,168
"169",478,2,1,658,"F",63.45,169
"170",478,2,2,182,"F",63.45,170
"171",479,1,1,179,"C",55.7,171
"172",479,1,2,173,"C",55.7,172
"173",479,2,1,315,"C",55.7,173
"174",495,1,1,311,"M",53.45,174
"175",495,2,2,488,"M",53.45,175
"176",495,2,1,421,"M",53.45,176
"177",495,1,3,393,"M",53.45,177
"178",495,1,2,382,"M",53.45,178
"179",495,2,3,413,"M",53.45,179
"180",496,1,1,368,"F",59.25,180
"181",496,2,1,431,"F",59.25,181
"182",496,2,2,465,"F",59.25,182
"183",498,2,1,327,"M",58.85,183
"184",498,1,1,374,"M",58.85,184
"185",498,1,2,297,"M",58.85,185
"186",498,2,1,301,"M",58.85,186
"187",499,1,1,440,"F",62.1,187
"188",499,1,2,450,"F",62.1,188
"189",499,2,1,586,"F",62.1,189
"190",501,1,1,204,"M",56.15,190
"191",501,2,1,323,"M",56.15,191
"192",501,2,1,515,"M",56.15,192
"193",511,1,1,218,"C",48.75,193
"194",511,1,2,247,"C",48.75,194
"195",511,2,1,323,"C",48.75,195
"196",511,2,2,226,"C",48.75,196
"197",514,1,1,389,"F",55.95,197
"198",514,1,1,501,"F",55.95,198
"199",514,2,1,517,"F",55.95,199
"200",515,1,1,111,"C",51.65,200
"201",515,2,1,225,"C",51.65,201
"202",515,2,2,422,"C",51.65,202
"203",517,1,1,240,"M",51.35,203
"204",517,1,2,202,"M",51.35,204
"205",518,1,1,29,"F",45.1,205
"206",518,1,2,69,"F",45.1,206
"207",518,2,1,81,"F",45.1,207
"208",518,2,2,56,"F",45.1,208
"209",519,1,1,151,"M",50.75,209
"210",519,2,3,352,"M",50.75,210
"211",519,1,3,296,"M",50.75,211
"212",519,2,2,415,"M",50.75,212
"213",519,2,1,333,"M",50.75,213
"214",519,1,2,384,"M",50.75,214
"215",529,2,1,193,"C",54.25,215
"216",529,2,3,370,"C",54.25,216
"217",529,1,2,333,"C",54.25,217
"218",529,2,2,274,"C",54.25,218
"219",529,1,1,168,"C",54.25,219
"220",529,1,3,105,"C",54.25,220
"221",583,1,1,256,"C",54.6,221
"222",583,2,2,393,"C",54.6,222
"223",583,2,3,412,"C",54.6,223
"224",583,2,1,430,"C",54.6,224
"225",584,1,1,159,"M",59.2,225
"226",584,2,1,305,"M",59.2,226
"227",584,2,2,409,"M",59.2,227
"228",585,2,2,186,"F",52.4,228
"229",585,2,1,171,"F",52.4,229
"230",585,1,2,136,"F",52.4,230
"231",585,1,1,152,"F",52.4,231
"232",590,2,1,394,"M",51.2,232
"233",590,1,1,89,"M",51.2,233
"234",590,1,2,312,"M",51.2,234
"235",590,2,2,312,"M",51.2,235
"236",597,1,1,38,NA,NA,236
"237",600,1,2,232,"M",49.8,237
"238",600,2,1,258,"M",49.8,238
"239",602,2,1,402,"F",65.65,239
"240",602,2,2,671,"F",65.65,240
"241",602,1,1,416,"F",65.65,241
"242",602,1,2,463,"F",65.65,242
"243",603,1,1,534,NA,NA,243
"244",604,1,1,180,"C",57.35,244
"245",604,1,2,186,"C",57.35,245
"246",604,2,2,165,"C",57.35,246
"247",607,1,1,321,"F",50.9,247
"248",607,1,2,114,"F",50.9,248
"249",608,1,NA,209,"C",53.75,249
"250",608,1,2,251,"C",53.75,250
"251",608,1,3,160,"C",53.75,251
"252",608,2,1,378,"C",53.75,252
"253",609,1,1,501,"C",59.6,253
"254",609,1,2,638,"C",59.6,254
"255",609,2,1,527,"C",59.6,255
"256",609,2,2,213,"C",59.6,256
"257",610,1,1,262,"C",53.6,257
"258",610,2,1,275,"C",53.6,258
"259",610,2,2,443,"C",53.6,259
"260",610,2,3,389,"C",53.6,260
